title,company,location,role,description,url,salary
Senior UI/UX Designer,Tech Solutions Inc,Toronto,UI/UX,Join our design team to create innovative user experiences for our platform,https://example.com/job1,70000-90000
User Research Analyst,Digital Innovations,Ottawa,Research,Conduct user research and usability studies to inform product decisions,https://example.com/job2,65000-80000
Product Analyst,Growth Corp,Toronto,Analyst,Analyze product usage data and create actionable insights for the team,https://example.com/job3,60000-75000
UX Researcher,Design Hub,Mississauga,Research,Lead user research initiatives for mobile applications,https://example.com/job4,68000-85000
Business Analyst,Enterprise Solutions,Guelph,Analyst,Gather and document business requirements for system implementations,https://example.com/job5,58000-72000
UI Designer,Creative Agency,Toronto,UI/UX,Design beautiful and functional interfaces for web applications,https://example.com/job6,50000-65000
Data Analyst,Analytics Firm,Ottawa,Analyst,Transform raw data into meaningful business insights,https://example.com/job7,62000-78000
Experience Researcher,Tech Startup,Mississauga,Research,Research user needs and test prototypes to validate design decisions,https://example.com/job8,55000-70000
Product Insights Analyst,SaaS Company,Guelph,Analyst,Drive product strategy through data analysis and market research,https://example.com/job9,64000-80000
Interaction Designer,Web Studio,Toronto,UI/UX,Design interaction patterns and flows for complex applications,https://example.com/job10,65000-82000
